DATA,PERIODO,NOME_EVENTO,DISTANCIA,MEDALHA,INFANTIL,LOCAL,MODALIDADE,VALOR,SITE
23/02/2025,Manhã,Circuito Runaway 2025 - etapa êxito - Osasco,,,,Osasco-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-runaway-2024-etapa-exito-osasco/
23/02/2025,Manhã,Mazza Run 2025 - São Bernardo do Campo,,,,São Bernardo do Campo-SP,Corrida de rua,,https://esportividade.com.br/evento/mazza-run-2025-sao-bernardo-do-campo/
23/02/2025,Manhã,Miracatu - Circuito das Serras 2024/2025,,,,Interior/litoral-SP,Corrida de montanha,,
23/02/2025,Manhã,Circuito Tricolor de natação - etapa de fevereiro de 2025,,,,São Paulo - Zona Oeste,Natação,,https://esportividade.com.br/evento/circuito-tricolor-de-natacao-etapa-de-fevereiro-de-2025/
23/02/2025,Manhã,19° SP Run - 2025 - shopping SP Market,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/19a-sp-run-2025-shopping-sp-market/
23/02/2025,Manhã,19° SP Run - 2025,4/8,SIM,NÃO,Shopping SP Market - Zona Sul,Corrida de Rua,110,00 (1°Lote),https://www.ticketsports.com.br/e/19-sp-run-shopping-sp-market-70970?origem=esportividade&campanha=esportividade
01/03/2025,Manhã,7° Corrida da Folia de Taboão da Serra - 2025,,,,Taboão da Serra-SP,Corrida de rua,,https://esportividade.com.br/evento/7a-corrida-da-folia-de-taboao-da-serra-2025/
02/03/2025,Manhã,Corrida do Balacobaco e Folia Run 2025 - Indaiatuba,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/corrida-do-balacobaco-e-folia-run-2025-indaiatuba/
03/03/2025,Manhã,Corrida Embu Folia 2025,,,,Embu das Artes-SP,Corrida de rua,,https://esportividade.com.br/evento/corrida-embu-folia-2025/
08/03/2025,,4° Cau Saad no shopping Parque da Cidade - março de 2025,,,,São Paulo - Zona Sul,Treinamento funcional,,https://esportividade.com.br/evento/4o-cau-saad-no-shopping-parque-da-cidade-marco-de-2025/
09/03/2025,,Etapa de Santos - LIVE! RUN XP 2025,,,,Interior/litoral-SP,Corrida de rua, Corrida infantil,
09/03/2025,Manhã,Iguatemi Ribeirão Preto etapa I de 2025  - Santander Track&Field Run Series,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/iguatemi-ribeirao-preto-etapa-i-de-2025-santander-trackfield-run-series/
09/03/2025,Manhã,Iguatemi Campinas 2025 etapa I - Santander Track&Field Run Series,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/iguatemi-campinas-2025-etapa-i-santander-trackfield-run-series/
09/03/2025,Manhã,Holi Run 2025 - corrida das cores -  parque Villa-Lobos,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/holi-run-2025-corrida-das-cores-parque-villa-lobos/
09/03/2025,Manhã,Elas em Movimento 2025 - Rio Grande da Serra,,,,Rio Grande da Serra-SP,Corrida de rua, Corrida de trilha,
09/03/2025,Manhã,Treinão gratuito Divas que Correm 2025 - Sorocaba,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/treinao-gratuito-divas-que-correm-2025-sorocaba/
09/03/2025,Manhã,Run For Girls 2025 - Piracicaba,,,,Interior/litoral-SP,Corrida de rua, Corrida feminina,
09/03/2025,Manhã,Princesas Run - março de 2025 - Parque Ecológico do Tietê,,,,São Paulo - Zona Leste,Corrida de rua, Corrida de trilha, Corrida feminina
09/03/2025,Manhã,Holi Run 2025 - corrida das cores,3/5,SIM,SIM,Parque villa lobos, São Paulo, SP, Brasil,Corrida de Rua,249,00 + R$ 23,66 taxa de servi�o (KIT B�SICO),https://www.ticketsports.com.br/e/holi-run-corrida-das-cores-2025-70477?origem=esportividade&campanha=esportividade
09/03/2025,Manhã,Princesas Run,5,SIM,NÃO,Parque Ecológico do Tietê - Zona Leste,Corrida de Rua,a partir de R$ 87,99,http://www.ticketsports.com.br/e/2-princesas-run-2025-parque-ecologico-do-tiete-70676
15/03/2025,,Treinão Maratona de São Paulo 2025 - Centro Ol�mpico,,,,São Paulo - Zona Sul,Atletismo, Corrida de rua,
